embed,epoch,batch,learning_rate,dropout,recurrent_dropout,loss,accuracy,test_mae,tain_mae,train_mae
3000,30,25,0.001,0.5,0.5,6.419253826141357,0.0657370537519455,0.002668854082003236,,6.190545536810532e-05
4000,30,25,0.001,0.5,0.5,6.7038960456848145,0.06374502182006836,0.0026674787513911724,,6.206977559486404e-05
5000,30,25,0.001,0.5,0.5,6.426069736480713,0.0657370537519455,0.002665818203240633,,6.076276258681901e-05
500,15,50,0.001,0.5,0.5,6.50727653503418,0.05976095795631409,0.0027498938143253326,,0.0009887655032798648
1000,15,50,0.001,0.5,0.5,6.413052558898926,0.05776892602443695,0.0027202595956623554,,0.00038228146149776876
2000,15,50,0.001,0.5,0.5,6.27785062789917,0.06374502182006836,0.0027065204922109842,,0.000229177632718347
3000,15,50,0.001,0.5,0.5,6.322323799133301,0.05976095795631409,0.0027034864760935307,,0.00018698691565077752
4000,15,50,0.001,0.5,0.5,6.421069622039795,0.06175298988819122,0.0027028496842831373,,0.00016919695190154016
5000,15,50,0.001,0.5,0.5,6.411660194396973,0.06772908568382263,0.002700652228668332,,0.00015743577387183905
500,30,50,0.001,0.5,0.5,6.562424659729004,0.0657370537519455,0.00267879874445498,,0.00011457738582976162
1000,30,50,0.001,0.5,0.5,6.566930294036865,0.06374502182006836,0.002680148696526885,,9.158132161246613e-05
2000,30,50,0.001,0.5,0.5,6.355501174926758,0.0657370537519455,0.0026783710345625877,,8.149028872139752e-05
3000,30,50,0.001,0.5,0.5,6.4287567138671875,0.06374502182006836,0.0026783316861838102,,7.831854600226507e-05
4000,30,50,0.001,0.5,0.5,6.381477355957031,0.05976095795631409,0.0026776334270834923,,7.669935439480469e-05
5000,30,50,0.001,0.5,0.5,6.359266757965088,0.06175298988819122,0.002680509816855192,,7.597931107738987e-05
1000,15,25,0.0001,0.5,0.5,6.878164768218994,0.0039840638637542725,0.0028322755824774504,,0.0028302182909101248
2000,15,25,0.0001,0.5,0.5,6.855149269104004,0.0039840638637542725,0.0028322141151875257,,0.0028292019851505756
3000,15,25,0.0001,0.5,0.5,6.806712627410889,0.009960159659385681,0.002832186408340931,,0.0028277335222810507
4000,15,25,0.0001,0.5,0.5,6.763258457183838,0.017928287386894226,0.002832134487107396,,0.0028255856595933437
5000,15,25,0.0001,0.5,0.5,6.7216997146606445,0.027888447046279907,0.002832085592672229,,0.0028231891337782145
500,30,25,0.0001,0.5,0.5,6.904880046844482,0.009960159659385681,0.002831990597769618,,0.0028262240812182426
